Origin,AvgDelay,MaxDelay,CancelRate
ABE,1.7463633959270035,1863.0,0.02067450575009691
ABI,5.011608623548922,1018.0,0.012761780104712041
ABQ,1.6517518312593769,1718.0,0.015843187140420364
ABR,9.12784588441331,1059.0,0.03625632377740304
ABY,0.3508771929824561,838.0,0.004032258064516129
ACK,-8.375,115.0,0.04
ACT,3.0714608774310266,1031.0,0.01776988005330964
ACV,12.754365983295369,1909.0,0.04486251808972504
ACY,1.2034577271768923,883.0,0.024229979466119097
ADK,18.068493150684933,154.0,0.09036144578313253
ADQ,9.990364025695932,615.0,0.07433102081268583
AEX,4.314930388862218,1597.0,0.017180513061896916
AGS,2.9959900442477876,1366.0,0.010526315789473684
AKN,6.082191780821918,169.0,0.0851063829787234
ALB,2.8097921478060046,1860.0,0.02652008077181961
ALO,8.70893970893971,1311.0,0.04183266932270916
ALS,4.721649484536083,1409.0,0.0732484076433121
ALW,9.432052483598875,757.0,0.09483488569009314
AMA,4.454318522216675,3502.0,0.024674851100036466
ANC,4.200716845878136,2250.0,0.027568150315724627
APN,16.676056338028168,1823.0,0.04969574036511156
ART,11.914784394250514,1361.0,0.10303587856485741
ASE,22.8101691657055,1631.0,0.10436351142415393
ATL,1.1573228448886048,1614.0,0.008910308445398106
ATW,9.480781153130811,1439.0,0.024363233665559248
ATY,-3.019607843137255,915.0,0.0576036866359447
AUS,4.372174977511105,1836.0,0.017852920312130528
AVL,3.4686533595726736,1269.0,0.02216731864662686
AVP,3.0791340731307986,1255.0,0.028057173107464268
AZA,7.562944839857651,1551.0,0.021557794388473623
AZO,4.141521354561537,997.0,0.035801266439357035
BDL,2.213729281767956,2361.0,0.023178807947019868
BET,12.102376599634368,356.0,0.036939313984168866
BFF,2.221483942414175,1193.0,0.03727369542066028
BFL,7.1548625792811835,1335.0,0.01711174487943998
BFM,-8.292682926829269,88.0,0.0
BGM,5.777653631284916,1029.0,0.028199566160520606
BGR,0.7699174667340407,1166.0,0.0447904960667844
BHM,2.747131747131747,1467.0,0.016624475762269997
BIH,26.286792452830188,1145.0,0.05985915492957746
BIL,3.3312250790595352,1765.0,0.011399104356086308
BIS,7.709481550677253,2217.0,0.03306778896738313
BJI,4.958781362007168,1734.0,0.025283347863993024
BKG,9.482758620689655,230.0,0.06451612903225806
BLI,3.761381834820407,558.0,0.03205128205128205
BLV,12.755924170616113,1702.0,0.018575851393188854
BMI,7.193946731234867,1495.0,0.028651949271958667
BNA,3.0215338945934107,2989.0,0.02342668680845006
BOI,2.688678505112849,2367.0,0.011734970211229464
BOS,2.703339571417275,1558.0,0.024499994869111023
BPT,6.38337182448037,783.0,0.022556390977443608
BQK,2.681028492008339,1045.0,0.006896551724137931
BQN,12.94383878427486,1473.0,0.015893610120012974
BRD,-0.9394871794871795,1429.0,0.036561264822134384
BRO,2.2219471947194718,1309.0,0.01965006729475101
BRW,10.608125819134994,273.0,0.0389937106918239
BTM,-4.985968194574369,475.0,0.0074211502782931356
BTR,3.6136146750079523,1390.0,0.013155147212361662
BTV,5.754666257008987,1394.0,0.030850431162652393
BUF,4.064713438130773,1686.0,0.04547574626865672
BUR,2.880300773906887,1528.0,0.028717414959549607
BWI,2.2448171458714206,2081.0,0.022060847288971692
BZN,5.886026485273899,1767.0,0.02032721864154685
CAE,1.7050003536317986,1719.0,0.01563694488845646
CAK,6.179571663920923,1847.0,0.028385352666502828
CDB,32.90243902439025,105.0,0.21153846153846154
CDC,-2.2708757637474544,1125.0,0.006072874493927126
CDV,-1.7713444553483808,546.0,0.06405693950177936
CGI,1.0735294117647058,1152.0,0.06394557823129252
CHA,2.413476907546059,1211.0,0.0167699297810822
CHO,3.5251080469232354,1428.0,0.030475052285628922
CHS,1.7795950382012027,3795.0,0.02511241197929923
CID,7.0520662389974635,2518.0,0.03139434180138568
CIU,12.983240223463687,1221.0,0.031446540880503145
CKB,16.184584178498987,1235.0,0.040697674418604654
CLE,1.693791252516111,3423.0,0.022631049922329505
CLL,3.3450155763239877,565.0,0.020960365853658538
CLT,2.711347990355767,1434.0,0.016316355377631545
CMH,2.0008132803903744,1767.0,0.019772159800249687
CMI,3.1494673768308923,1467.0,0.037723785166240406
CMX,12.771317829457365,1188.0,0.10086956521739131
CNY,9.394736842105264,1471.0,0.04735376044568245
COD,12.480147737765467,852.0,0.037300177619893425
COS,4.16250151643819,2402.0,0.0199857668129522
COU,9.633811802232854,1147.0,0.04647630619684082
CPR,2.9440491591203104,1520.0,0.019943019943019943
CRP,1.9251437140714822,1344.0,0.01825756647469673
CRW,8.176085176085175,1126.0,0.026278069756330624
CSG,4.514865502595564,1283.0,0.018527095877721167
CVG,2.5430094654344044,1842.0,0.015254237288135594
CWA,3.6942171303873432,1763.0,0.030623020063357972
CYS,2.7454545454545456,1177.0,0.052980132450331126
DAB,0.3090909090909091,1349.0,0.014890448840672197
DAL,2.1814912212854822,998.0,0.021901875820140287
DAY,2.66123198186039,1510.0,0.017623709976184176
DBQ,1.1760925449871464,444.0,0.06257521058965103
DCA,2.386889527019997,1557.0,0.025939208773198847
DDC,6.301533219761499,1538.0,0.05457463884430177
DEC,6.532279314888011,1202.0,0.07317073170731707
DEN,5.26105529837392,2996.0,0.02128457437971415
DFW,5.570797900956085,1747.0,0.014314311760189465
DHN,1.1206096752816435,1210.0,0.0033003300330033004
DIK,11.456709956709958,1264.0,0.06659939455095863
DLG,30.822580645161292,357.0,0.12640449438202248
DLH,5.415427769985975,1088.0,0.03382949932341001
DRO,11.2482782369146,1380.0,0.023173803526448364
